cluster,metric,url,article_text
1,0.036902316,https://www.cnn.com/2019/04/30/us/california-synagogue-attack-john-earnest/index.html,earnest shooter may sum best told even month ago would would wrote manifesto last weekend attack near san earnest enter plea court wear glass dark blue jail cloth year old assign public defend face one count murder count arson worship three count attempt murder without bail friend earnest sudden world knew wonder piano play lifeguard wrong son attract dark earnest wrote statement week said son action inform know idea hold watch rabbi choke shoot victim replay video must watch rabbi choke shoot victim former also say perplex turn event earnest court high school boy knew two year ago back known guy smart bother take note physic still ace exam quiet teacher spoke walk hallway guy read textbook drove around area upbring one student post forum murder interview student confirm author post accord law earnest use type assault weapon shoot victim prosecutor told earnest don tactic vest helmet attack extra shoot said video end either gun jam reload fled scene call make statement san district attorney summer consist say earnest weapon far indic obtain gun legal new law took effect year gun least year old one except note weapon hunt would confirm whether earnest gun said prosecutor whether seek death earnest state san marco shoot manifesto earnest wrote attack kill score new center march teen said assault within month assault manifesto reflect long simmer fill rant refer cur corrupt blame problem bigot racist comment mani ethnic religion race earnest brag call magnific claim rail law list one said disgust action write statement kill faith gather place day great shame part evil watch year old victim show report replay video must watch year old victim show report earnest purport word action stark contrast clean cut look student page high school civic excel dress blue suit red tie arm fold smile beam next membership swim team prowess piano first second third place show school talent show high school earnest said know earnest well quiet person outspoken said known music talent seem social bring attent said fellow student post attack said felt physic ill hour learn earnest said friend call earnest would sit class listen music hand shove jean pocket still ace exam quiz reach author post confirm student high school said school student speak medium ask name said friend member earnest thought interview student said struck contrast earnest bluster person demeanor seem outspoken post said real life talk except said air view govern class reveal time said radar student said also view topic tax abort said popular posit fellow student rough said respect opinion post said could begin understand prompt attack call worst crime mortal commit student post attack call said upset victim also wrote felt anguish shooter father also physic teacher said student elder earnest also name morn shoot placement exam session lead see smile face yesterday morn batch bake wrote student came review hand special binder review exam one countless way earnest went beyond student contact author post confirm student high school ask due subject wrote post close friend member earnest know hand earnest may mani reason got one thing sure reason wrote unbear see affect way district attorney ask news whether earnest view say may known mani time see thing happen
1,0.032022316,https://www.cnn.com/2019/04/30/us/sunny-garcia-hospitalized/index.html,surf legend vincent care unit accord world surf heart confirm said year old surfer actor statement alway great champion surf water said via twitter account prayer love one time detail reason reach inform friend fellow pro surfer slater took morn offer best wish love brother even fathom slater post account got much live done
4,0.068074105,https://www.cnn.com/2019/04/30/us/not-reaching-pouch-police-shooting-race-traffic-trnd/index.html,carter know perfect world black citizen die traffic stop black driver fear live saw blue light flash behind world live carter black woman live live fear behalf husband son year ago start think year old shot dead traffic stop carter knew right away time put plan action idea clear pouch affix car dashboard hold driver import document pouch content state driver card carter call reach pouch invent whole movement born start back saw happen carter told idea way husband pull sever say son get pull time medic one particular stand mind son call one night said pull back road said fear know could never forget idea reach pouch sell carter say could ten moment traffic stop ask motorist reach interview lot agre make driver make reach motion said develop reach pouch carter contact sheriff agre ask group local input reach came chief concern word reach pouch spread carter say posit impact other driver follow direct claim problem watch civil replay video must watch civil carter point victim appear follow rule yet still turn said take make interact driver favor let movement reach pouch avail two year carter given mani away partner organ creat movement center around traffic stop person empower carter reach pouch event get word traffic stop organ form safe traffic stop one member organ astral base build drone shooter one main program drone traffic stop accord astral technic founder drone traffic stop detect firearm either motorist reach load gun drone act bulletproof barrier object told drone stop bullet watch panelist black comfort replay video must watch panelist black comfort organ partner attract high mother astral traffic stop drone concept former player activist board safe traffic stop ast member mission get product hand organ use good say would love see reach pouch avail driver class astral partner dozen law school across help implement base threat gun real veteran say like astral reach use strength address diver wide rang problem social aspect gun problem year said come social problem help stop bullet kind spirit led carter develop reach pouch pitch show shark tank said one day come care small said may big think come help
0,-0.010111579,https://www.cnn.com/2019/04/30/us/seattle-crane-collapse-experts/index.html,may time know sure construct crane come crash street kill four expert say like human error play role think human error machin said construct expert crew crane roof build construct part new mast kill two two ironwork five author still work crane may take six month said church spokesman state depart labor allow access interview worker access record perform work said
2,0.047425684,https://www.cnn.com/2019/04/30/us/minneapolis-officer-noor-trial-verdict/index.html,former found third murder fatal shoot respond call ten men two woman acquit count second murder kill year old first convict murder recent attorney mike freeman said sat hand clasp verdict read taken led courtroom handcuff face half year third murder four year second set date june shoot lawyer said perfect storm event led open fire night call report assault progress alley behind home fear partner life approach squad car dark alley prosecutor said fail ass fire gunshot abdomen death drew widespread attent unit state move kill month wed member medium pack courtroom along said statement verdict said hope death would lead reform note squad car bear motto protect compass night ask call need protect compass said night tragic lack care compass life shoot cast harsh spotlight depart state bureau resign chief chang depart camera case also drew comparison kill black man shot one year wonder trial case would treatment race victim verdict freeman attorney reject idea race play factor look case base fact law front said case said show act unreason wit said wit month long trial use expert neighbor partner behind wheel squad car shot seat rear driver side door approach accord center murder trial took wit stand toward trial end express sight hand rais jolt action although see gun hand fear partner might shot rais hand said two neighbor sound could slap squad car slap happen base expert none fingerprint found squad car match duel expert differ whether use reason therefor derrick hacker crystal depart said use excess object unreason differ fear death great harm hacker said lawyer use expert said conduct object reason late night dark alley said note partner say trial drew crowd select lawyer attorney ami said close argument appear woman alley point never said save partner life discus shoot said sure would mention given claim fear life good time say ask stand lawyer said fear life shot said event shoot close argument attorney said time morn quarterback may use protect other danger said
3,0.044597053,https://www.cnn.com/2019/04/30/us/california-synagogue-shooting-investigation/index.html,man shoot arm legal dress tactic vest five round open fire prosecutor said earnest could face death kill woman belief earnest arraign san superior court one count murder three count attempt murder connect shoot left one woman dead three court appoint public defend enter plea behalf order earnest without bail said earnest risk public suspect fire round prosecutor said earnest open fire semi automat foyer fatal strike year old lori gilbert kay twice wound rabbi accord san district attorney earnest turn toward room full member wound year old said earnest fire eight round gun appear either jam said two earnest left border patrol fire earnest author said earnest later call report shoot taken wear tactic vest hold said five load tactic helmet also found earnest car along said san district attorney summer said earnest legal far indic obtain gun legal said say earnest bought gun said gun alter shoot devast heart san spirit stand hate hold hate account told report arraign murder attempt murder come hate crime gun bring convict part murder earnest intent kill kay religion special could lead punish although order prevent happen prevent death hand democrat moratorium march although order prevent happen prevent death hand earnest also arson worship accord complaint arson fire late march use suspect name post letter cite new attack comment attack earnest post link hate speech fill open letter anonym board often hate speech extremist post letter fill anti white nationalist sentiment author talk plan attack sever cite last month shoot new say catalyst letter also mention bower defend last year tree life shoot direct court manifesto claim written defend manifesto defend express intent send hell said earnest also admit set march blaze manifesto said tipster alert letter mere attack say shoot tipster alert letter said said sever tip came tip phone line five shoot said author post intend attack shoot happen twitter account claim post nine publish respond whether alert law post though letter talk kill refer san open letter question answer format person earnest answer question attack post person earnest say lurk site year half link page say begin new attack time live video found page link post accord web page defend attract dark earnest said statement shock sadden attack sad pale comparison grief anguish son mani statement read kill faith gather place day great shame part evil statement read statement also said earnest action inform know idea hold son attract dark statement read hold vigil night told statement earnest student north san made dean list heartbroken hate anti statement read act given mani yom holocaust day may stand reject rhetor feed
2,0.016225684,https://www.cnn.com/2019/04/30/us/woman-flees-country-son-lime-scooter-death-trnd/index.html,woman whose son die fell scooter ride fled said ride lime scooter along year old son last week accord mother rode scooter traffic made son fall struck car transport dead said mother appear child neglect skip son fled found said driver fled scene later turn scene fatal without valid driver drive read
3,0.016677053,https://www.cnn.com/2019/04/30/us/dallas-botham-jean-911-police-officer-amber-guyger/index.html,former face murder shoot jean made call say least time thought apart amber altern talk dispatch jean final respond dispatch tell help way know lose job thought apart jean say hey man say one particular correct job ranger take lead depart fire four year veteran hear jail bail grand murder attorney said shoot true acquit stay bud call obtain made public news station begin request say walk apart think shot guy shot dispatch thought apart ked god say watch fire jean shoot case replay video must watch fire jean shoot case apart tell dispatch jean hey come man hey bud hey bud hey bud come thought apart dispatch repeat sever time thought apart could sworn park third floor say dispatch ask gate code rout still talk jean hey bud hey bud come come man ask jean shot top left god done mean mean mean tell jean stay bud dispatch tell almost cur done set thought apart thought apart thought apart god thought apart jean kill apart last year say question put tire call say ked thought apart thought floor call end jean unarm die later attorney true door ajar tri use key electron chip open door saw interior almost dark accord affidavit see apart drew firearm watch grant access jean apart replay video must watch grant access jean apart verbal command jean home heed fire two shot hit torso affidavit said call first aid jean turn light phone ask address wrong apart told kill spark day protest demand protest interrupt council meet demand account reform district attorney faith present case grand juror murder explain meant felt action know intent permit remain free origin bail result true roger attorney said time fair forum object law fact find amber watch jean sad era replay video must watch jean sad era jean mother jean applaud say inflict evil son said seat apart felt safe come murder jean said hope verdict punish spur reflect done pain jean parent file lawsuit use excess trial slate begin
2,0.002305684,https://www.cnn.com/2019/04/30/us/iowa-former-student-shot-and-killed-highway/index.html,year old woman drive home work bullet tore driver window kill said retting car two around hit neck said one treat accord indic victim case way would target manner said statement retting northern member school team devast learn senseless death retting director said statement news heartbreak team thought prayer friend read
2,0.024545684,https://www.cnn.com/2019/04/30/us/capital-gazette-suspect-plea-not-guilty-mental-disorder/index.html,man kill spree plead say suffer mental time last year kill accord court document plea file ann circuit court come month shoot left five dead plea say time conduct caption case defend mental lack conduct conform conduct law kill five june two page file say plea stand count indict state law mental behavior ill result read
